ID,date,value,CO2,temp,outT,TSV,adapt_comf
174,2024-01-21 17:00:00,1.85,431.0,19.8,0.9578278688524589,0.2,0
175,2024-01-21 18:00:00,1.1,434.0,20.1,1.0077868852459018,0.3,0
176,2024-01-21 19:00:00,1.14,434.0,20.2,1.0577459016393442,0.4,0
177,2024-01-21 20:00:00,1.61,431.0,20.3,1.1077049180327867,0.4,0
178,2024-01-21 21:00:00,1.7,430.0,20.5,1.1576639344262296,0.6,0
179,2024-01-21 22:00:00,1.7,429.0,20.5,1.207622950819672,0.6,0
180,2024-01-21 23:00:00,1.93,427.0,20.5,1.2575819672131145,0.6,0
181,2024-01-22 00:00:00,1.3,427.0,20.6,1.3075409836065575,0.6,0
182,2024-01-22 09:00:00,0.07,396.0,21.8,1.757172131147541,0.6,0
183,2024-01-22 10:00:00,0.1,395.0,21.8,1.8071311475409835,0.6,0
184,2024-01-22 11:00:00,0.1,394.0,21.6,1.857090163934426,0.6,0
185,2024-01-22 12:00:00,0.1,393.0,21.5,1.9070491803278689,0.6,0
186,2024-01-22 13:00:00,0.1,389.0,21.5,1.9570081967213113,0.6,0
187,2024-01-22 14:00:00,0.1,389.0,21.4,2.006967213114754,0.6,0
188,2024-01-25 17:00:00,0.1,449.0,20.3,5.753893442622951,-1.0,0
189,2024-01-28 15:00:00,1.55,468.0,19.0,9.251024590163935,0.0,0
190,2024-01-28 16:00:00,2.51,471.0,19.4,9.300983606557377,-0.0,0
191,2024-01-28 17:00:00,2.3,470.0,19.9,9.35094262295082,0.1,0
192,2024-01-28 18:00:00,2.3,470.0,20.1,9.400901639344262,0.5,0
193,2024-01-28 19:00:00,1.6,470.0,20.3,9.450860655737705,0.1,0
194,2024-01-31 23:00:00,2.1775,511.0,20.9,9.94,0.7,0
195,2024-02-01 00:00:00,2.066666666666667,514.0,20.9,9.82,0.3,0
196,2024-02-01 01:00:00,3.3,500.0,20.8,9.79,0.2,0
197,2024-02-01 02:00:00,3.3,504.0,20.9,9.56,0.5,0
198,2024-02-01 03:00:00,3.3,488.0,21.0,7.1,-0.6,0
199,2024-02-01 04:00:00,3.3,479.0,21.1,5.37,-0.8,0
200,2024-02-01 05:00:00,3.18,461.0,21.0,5.3,-0.7,0
201,2024-02-01 06:00:00,2.8,458.0,21.0,4.66,-0.8,0
202,2024-02-01 07:00:00,0.03,454.0,21.1,3.9,-0.4,0
203,2024-02-01 15:00:00,0.86,456.0,19.6,8.34,0.4,0
204,2024-02-01 16:00:00,3.27,462.0,19.7,7.8,0.5,0
205,2024-02-01 17:00:00,1.74,469.0,20.0,7.07,-0.8,0
206,2024-02-01 18:00:00,2.61,472.0,19.8,6.46,-1.0,0
207,2024-02-01 19:00:00,1.76,473.0,20.0,6.12,-0.6,0
208,2024-02-01 20:00:00,2.99,479.0,20.3,5.47,-1.1,0
209,2024-02-01 21:00:00,2.67,473.0,20.7,4.73,-0.9,0
210,2024-02-01 22:00:00,2.8,470.0,20.7,4.46,-0.1,0
211,2024-02-01 23:00:00,2.65,472.0,20.8,3.66,-0.4,0
212,2024-02-02 00:00:00,2.51,471.0,20.9,3.62,-0.4,0
213,2024-02-02 01:00:00,2.3,471.0,20.8,3.3,-0.2,0
214,2024-02-02 02:00:00,0.87,469.0,20.8,3.38,-0.2,0
215,2024-02-02 15:00:00,1.32,451.0,19.5,11.2,0.2,0
216,2024-02-02 16:00:00,2.83,456.0,19.7,11.6,0.1,0
217,2024-02-02 17:00:00,2.6,460.0,20.1,10.7,-0.3,0
218,2024-02-02 18:00:00,2.6,460.0,20.3,10.8,0.4,0
219,2024-02-02 19:00:00,1.35,462.0,20.6,10.2,0.4,0
220,2024-02-07 09:00:00,0.1,412.0,21.8,2.91,0.4,0
221,2024-02-07 10:00:00,0.1,413.0,21.5,3.03,0.5,0
222,2024-02-07 11:00:00,0.1,413.0,21.3,3.55,-0.3,0
223,2024-02-07 12:00:00,0.1,412.0,21.0,3.99,0.1,0
224,2024-02-07 13:00:00,0.1,412.0,20.9,4.34,-0.2,0
225,2024-02-07 14:00:00,0.1,413.0,20.7,4.56,0.0,0
226,2024-02-08 17:00:00,0.1,435.0,19.9,10.9,-0.0,0
227,2024-02-08 18:00:00,2.7,440.0,19.6,10.9,0.1,0
228,2024-02-08 19:00:00,2.54,446.0,19.9,9.73,-0.3,0
229,2024-02-08 20:00:00,2.2,456.0,20.2,9.4,0.8,0
230,2024-02-08 21:00:00,1.2,458.0,20.2,9.45,0.0,0
231,2024-02-13 15:00:00,1.2,502.0,19.0,7.55,0.2,0
232,2024-02-13 16:00:00,0.25,463.0,19.8,7.23,-0.0,0
233,2024-02-15 17:00:00,1.2125,450.0,20.5,14.8,0.5,0
234,2024-02-17 09:00:00,0.2,431.0,22.0,9.74,0.3,0
235,2024-02-17 10:00:00,0.2,438.0,21.8,10.1,0.9,0
236,2024-02-17 11:00:00,0.2,442.0,21.7,10.8,0.4,0
237,2024-02-17 12:00:00,0.2,443.0,21.5,11.5,0.2,0
238,2024-02-17 13:00:00,0.2,444.0,21.4,12.2,0.6,0
239,2024-02-17 14:00:00,0.2,445.0,21.3,12.0,0.6,0
240,2024-02-20 15:00:00,0.21,449.0,19.7,9.42,0.0,0
241,2024-02-21 15:00:00,1.81,440.0,19.8,8.7,0.1,0
242,2024-02-21 16:00:00,0.605,437.0,19.8,9.19,0.5,0
243,2024-02-21 17:00:00,3.3,437.0,20.1,9.87,0.3,0
244,2024-02-21 18:00:00,3.3,476.0,20.3,10.7,0.1,0
245,2024-02-21 19:00:00,3.03,465.0,20.3,11.0,0.2,0
246,2024-02-21 20:00:00,3.18,437.0,20.4,10.9,0.2,0
247,2024-02-21 21:00:00,2.21,450.0,20.6,10.1,0.1,0
248,2024-02-21 22:00:00,1.8,453.0,20.6,10.2,0.4,0
249,2024-02-22 09:00:00,0.1,439.0,20.8,8.68,0.2,0
250,2024-02-22 10:00:00,0.1,438.0,20.6,9.6,0.9,0
251,2024-02-22 11:00:00,0.1,436.0,20.6,10.3,-0.3,0
252,2024-02-22 12:00:00,0.1,430.0,20.5,10.5,0.6,0
253,2024-02-22 13:00:00,0.1,421.0,20.9,7.85,-0.5,0
254,2024-02-22 14:00:00,0.1,414.0,21.1,7.7,0.1,0
255,2024-02-22 17:00:00,0.1,425.0,20.1,3.31,-0.7,0
256,2024-02-22 18:00:00,2.86,425.0,20.2,1.67,0.4,0
